filename,display_name,hull_hp_normalized,fuse_penetration_mult,component_penetration_mult,critical_explosion_chance,armor_hp,armor_resist_physical,armor_resist_energy,armor_resist_distortion,thruster_count,thruster_main_hp,thruster_retro_hp,thruster_mav_hp,thruster_vtol_hp,thruster_total_hp,turret_count,turret_total_hp,powerplant_count,powerplant_total_hp,cooler_count,cooler_total_hp,shield_gen_count,shield_gen_total_hp,qd_count,qd_total_hp,weapon_hardpoints,missile_hardpoints,total_hardpoints
aegs_avenger_stalker,Aegis avenger stalker,1650,0.7,0.4,0.2,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,2,260,1,150,3,3,58
aegs_avenger_stalker_pu_ai_advocacy,Aegis avenger stalker pu ai advocacy,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,2,260,1,150,3,3,58
aegs_avenger_stalker_pu_ai_bh,Aegis avenger stalker pu ai bh,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,2,260,1,150,3,2,58
aegs_avenger_stalker_pu_ai_civ,Aegis avenger stalker pu ai civ,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,2,260,1,150,3,3,58
aegs_avenger_stalker_pu_ai_crim,Aegis avenger stalker pu ai crim,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,2,260,1,150,3,3,58
aegs_avenger_stalker_pu_ai_pir,Aegis avenger stalker pu ai pir,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,2,260,1,150,3,3,58
aegs_avenger_stalker_pu_ai_sec_crusader,Aegis avenger stalker pu ai sec crusader,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,2,260,1,150,3,3,58
aegs_avenger_stalker_pu_ai_sec_microtech,Aegis avenger stalker pu ai sec microtech,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,200,2,360,1,180,1,150,3,3,58
aegs_avenger_titan,Aegis avenger titan,1650,0.7,0.4,0.2,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,360,1,150,3,3,59
aegs_avenger_titan_pu_ai_civ,Aegis avenger titan pu ai civ,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,360,1,150,3,3,59
aegs_avenger_titan_pu_ai_ff,Aegis avenger titan pu ai ff,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,360,1,150,3,3,59
aegs_avenger_titan_renegade,Aegis avenger titan renegade,1650,0.7,0.4,0.2,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,360,1,150,3,3,60
aegs_avenger_titan_renegade_pu_ai_civ,Aegis avenger titan renegade pu ai civ,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,360,1,150,3,3,60
aegs_avenger_titan_renegade_pu_ai_crim,Aegis avenger titan renegade pu ai crim,1650,0.7,0.4,1.0,1500,0.85,1.3,1.0,11,9100,16200,56800,0,82100,0,0,1,270,2,360,2,360,1,150,3,3,60
