ship_filename,port_name,max_size,gimbal_type,category,mount_name,sub_port_count,weapon_sizes,default_weapons
aegs_avenger_stalker,hardpoint_weapon_class2_nose,4,Gimbal,pilot,entityclassdefinition.mount_gimbal_s4,1,4,apar_ballisticgatling_s4
aegs_avenger_stalker,hardpoint_weapon_gun_class1_left_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,3,amrs_lasercannon_s3
aegs_avenger_stalker,hardpoint_weapon_gun_class1_right_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,3,amrs_lasercannon_s3
aegs_avenger_stalker,hardpoint_weapon_missilerack_right_wing,3,Fixed,missile,mrck_s03_behr_dual_s02,1,2,misl_s02_ir_fski_ignite
aegs_avenger_stalker,hardpoint_weapon_missilerack_left_wing,3,Fixed,missile,mrck_s03_behr_dual_s02,1,2,misl_s02_cs_fski_tempest
aegs_avenger_titan,hardpoint_weapon_class2_nose,4,Gimbal,pilot,entityclassdefinition.mount_gimbal_s4,1,4,apar_ballisticgatling_s4
aegs_avenger_titan,hardpoint_weapon_gun_class1_left_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,3,amrs_lasercannon_s3
aegs_avenger_titan,hardpoint_weapon_gun_class1_right_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,3,amrs_lasercannon_s3
aegs_avenger_titan,hardpoint_weapon_missilerack_left_wing,3,Fixed,missile,mrck_s03_behr_dual_s02,1,2,misl_s02_ir_fski_ignite
aegs_avenger_titan,hardpoint_weapon_missilerack_right_wing,3,Fixed,missile,mrck_s03_behr_dual_s02,1,2,misl_s02_ir_fski_ignite
aegs_avenger_titan_renegade,hardpoint_weapon_class2_nose,4,Gimbal,pilot,entityclassdefinition.mount_gimbal_s4,1,3,kbar_ballisticcannon_s3
aegs_avenger_titan_renegade,hardpoint_weapon_gun_class1_left_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,2,misl_s02_cs_fski_tempest
aegs_avenger_titan_renegade,hardpoint_weapon_gun_class1_right_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,2,misl_s02_em_taln_dominator
aegs_avenger_titan_renegade,hardpoint_weapon_missilerack_left_wing,3,Fixed,missile,mrck_s03_behr_dual_s02,1,2,misl_s02_ir_fski_ignite
aegs_avenger_titan_renegade,hardpoint_weapon_missilerack_right_wing,3,Fixed,missile,mrck_s03_behr_dual_s02,1,2,misl_s02_ir_fski_ignite
aegs_avenger_titan_renegade_unmanned_ff,hardpoint_weapon_class2_nose,4,Gimbal,pilot,entityclassdefinition.mount_gimbal_s4,1,2,klwe_laserrepeater_s2
aegs_avenger_titan_renegade_unmanned_ff,hardpoint_weapon_gun_class1_left_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,2,misl_s02_ir_fski_ignite
aegs_avenger_titan_renegade_unmanned_ff,hardpoint_weapon_gun_class1_right_wing,3,Gimbal,pilot,entityclassdefinition.mount_gimbal_s3,1,2,misl_s02_ir_fski_ignite
